Date,Party,Item Code,Qty (Nos),Brand,Cust_type,Media
27-11-2021,Swaroop Engineers,630FMM,24.0,Bussmann,T,E
27-11-2021,Universal Electrical & Electronics Co.,7.2TFLSJ100,18.0,Bussmann,T,E
27-11-2021,Sachi Engneering Pvt. Ltd.,170M1569D,3.0,Bussmann,En,E
27-11-2021,Sachi Engneering Pvt. Ltd.,SB00-PB,6.0,Bussmann,En,E
27-11-2021,Sachi Engneering Pvt. Ltd.,170M1563D,3.0,Bussmann,En,E
27-11-2021,Sachi Engneering Pvt. Ltd.,FWC-4A10F,9.0,Bussmann,En,E
27-11-2021,Sachi Engneering Pvt. Ltd.,CHM1DU,9.0,Bussmann,En,E
29-11-2021,Engie Cofely Mannai Facility Mgt WLL,CM100F,44.0,Bussmann,A,E
29-11-2021,Engie Cofely Mannai Facility Mgt WLL,OSD100,44.0,Bussmann,A,E
29-11-2021,Universal Electrical & Electronics Co.,32NHG000B,20.0,Bussmann,T,E
29-11-2021,Universal Electrical & Electronics Co.,56ET,5.0,Bussmann,T,E
29-11-2021,Universal Electrical & Electronics Co.,63NHG00B,20.0,Bussmann,T,E
29-11-2021,Universal Electrical & Electronics Co.,110EET,10.0,Bussmann,T,E
29-11-2021,Universal Electrical & Electronics Co.,200MT,10.0,Bussmann,T,E
20-12-2021,Tej Control Systems Pvt. Ltd.,4HO7-660,3.0,Bussmann,T,E
20-12-2021,Tej Control Systems Pvt. Ltd.,6HO7-660,2.0,Bussmann,T,E
20-12-2021,Indel Industries Pvt. Ltd.,170M5813D,3.0,Bussmann,T,E
20-12-2021,Vilking Electrics & Electronics,FRN-R-6-1-4,10.0,Bussmann,T,E
21-12-2021,Aramex India Pvt. Ltd.,12ABCNA3.15,10.0,Bussmann,T,E
21-12-2021,D&V Automation,CHM1DU,12.0,Bussmann,T,E
21-12-2021,D&V Automation,FNM-20,10.0,Bussmann,T,E
21-12-2021,D&V Automation,FNM-10,10.0,Bussmann,T,E
21-12-2021,Reliance Industries Limited,PV-10A10F,350.0,Bussmann,OEM,E
21-12-2021,Samcon Industrial Controls Pvt. Ltd.,100FEE,6.0,Bussmann,T,E
22-12-2021,Ramesh Stores,170M1569D,70.0,Bussmann,T,E
22-12-2021,Astek Electricals India Pvt. Ltd.,170M1565D,20.0,Bussmann,T,E
22-12-2021,Astek Electricals India Pvt. Ltd.,170M2697,24.0,Bussmann,T,E
22-12-2021,Astek Electricals India Pvt. Ltd.,170M2699,6.0,Bussmann,T,E
22-12-2021,Astek Electricals India Pvt. Ltd.,170M1565,10.0,Bussmann,T,E
22-12-2021,Astek Electricals India Pvt. Ltd.,170M1567,10.0,Bussmann,T,E
22-12-2021,Astek Electricals India Pvt. Ltd.,170M1569,10.0,Bussmann,T,E
22-12-2021,Astek Electricals India Pvt. Ltd.,170M3816,6.0,Bussmann,T,E
22-12-2021,Astek Electricals India Pvt. Ltd.,170M6808,9.0,Bussmann,T,E
23-12-2021,Jumbo Exports,200MMT,12.0,Bussmann,T,E
23-12-2021,HH Energy,170M1568D,10.0,Bussmann,T,E
24-12-2021,Darshan Marketing,BK-GDC-500MA,100.0,Bussmann,T,E
24-12-2021,Darshan Marketing,BK-GMA-2-R,100.0,Bussmann,T,E
24-12-2021,Chamundi Electric Pipes,170M1567D,10.0,Bussmann,T,E
24-12-2021,Elemech Engineering Services,170M5212,30.0,Bussmann,T,E
25-12-2021,Astek Electricals India Pvt. Ltd.,170M1565D,20.0,Bussmann,T,E
